order,taxon,b,a,n,table,measure,table_source,length_units,mass_units,equation,fresh_to_dry_equation,location,life_stage
Turbellaria,Turbellaria,2.168_0.016,0.0082_0.0013,3,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Decapoda,Amphipoda,3.015_0.087,0.0058_0.0014,7,Table_4,Carapace,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Decapoda,Decapoda,3.626_0.084,0.0147_0.0030,9,Table_4,Carapace,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Decapoda,Isopoda,2.948_0.163,0.0054_0.0018,2,Table_4,Carapace,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Ameletidae,2.588,0.0077,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Baetidae,2.875_0.131,0.0053_0.0010,9,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Baetiscidae,2.905,0.0116,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Caenidae,2.772_0.069,0.0054_0.0008,4,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Ephemerellidae,2.676_0.131,0.0103_0.0025,8,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Ephemeridae,2.764_0.043,0.0034_0.0009,4,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Heptageniidae,2.754_0.039,0.0108_0.0014,15,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Isonychiidae,3.043_0.124,0.0031_0.0000,2,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Leptophlebiidae,2.686_0.082,0.0047_0.0006,5,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Polymitarcyidae,3.05,0.002,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Siphlonuridae,3.446_0.455,0.0027_0.0025,3,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Ephemeroptera,Tricorythidae,3.194_0.028,0.0061_0.0032,2,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Odonata,Aeshnidae,2.813,0.0082,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
Odonata,Calopterygidae,2.742,0.005,1,Table_4,total_length,Benke et al. 1999,mm,mg dry mass,aL^b,,,
